nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";271860;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";348598;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";351534;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";249892;"SULAWESI UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";277186;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";201779;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";204787;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";216687;GORONTALO
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";221332;"SULAWESI BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";320259;MALUKU
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";289208;"MALUKU UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";374902;"PAPUA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";310937;PAPUA
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 2 (September)";256120;INDONESIA
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";296406;ACEH
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";263932;"SUMATERA UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";291641;"SUMATERA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";293851;RIAU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";262791;JAMBI
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";250850;"SUMATERA SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";298505;BENGKULU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";253869;LAMPUNG
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";353260;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";301870;"KEP. RIAU"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";319595;"DKI JAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";219290;"JAWA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";216823;"JAWA TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";237473;"DI YOGYAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";223641;"JAWA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";237129;BANTEN
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";221931;BALI
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";235036;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";238070;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";255104;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";281506;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";244281;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";336356;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";341484;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";230475;"SULAWESI UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";258520;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";187304;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";194409;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";202433;GORONTALO
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";208787;"SULAWESI BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";306768;MALUKU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";275361;"MALUKU UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";346975;"PAPUA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";302807;PAPUA
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 1 (Maret)";242241;INDONESIA
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";305428;ACEH
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";279015;"SUMATERA UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";308554;"SUMATERA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";306835;RIAU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";273957;JAMBI
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";260885;"SUMATERA SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";324764;BENGKULU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";267028;LAMPUNG
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";384643;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";322677;"KEP. RIAU"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";327678;"DKI JAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";229494;"JAWA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";226501;"JAWA TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";246776;"DI YOGYAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";231914;"JAWA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";250522;BANTEN
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";228017;BALI
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";241112;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";245160;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";267745;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";289219;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";256417;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";348524;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";353538;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";238209;"SULAWESI UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";274027;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";196217;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";203530;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";211422;GORONTALO
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";219500;"SULAWESI BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan+Perdesaan;2015;"Semester 2 (September)";310278;MALUKU
